league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ENG-Premier League,2021,2020-12-12 Manchester United-Manchester City,1,2020,14549,2020-12-12 17:30:00,89,88,Manchester United,Manchester City,MCI,MUN,0,0,0.591617,1.28434,True,True,https://understat.com/match/14549
ENG-Premier League,2021,2020-12-12 Newcastle United-West Bromwich Albion,1,2020,14550,2020-12-12 15:00:00,86,76,Newcastle United,West Bromwich Albion,WBA,NEW,2,1,0.904163,0.57319,True,True,https://understat.com/match/14550
ENG-Premier League,2021,2020-12-12 Wolverhampton Wanderers-Aston Villa,1,2020,14552,2020-12-12 12:30:00,229,71,Wolverhampton Wanderers,Aston Villa,AVL,WOL,0,1,1.1356,1.26872,True,True,https://understat.com/match/14552
ENG-Premier League,2021,2020-12-13 Arsenal-Burnley,1,2020,14554,2020-12-13 19:15:00,83,92,Arsenal,Burnley,BUR,ARS,0,1,1.85362,0.815375,True,True,https://understat.com/match/14554
ENG-Premier League,2021,2020-12-13 Crystal Palace-Tottenham,1,2020,14545,2020-12-13 14:15:00,78,82,Crystal Palace,Tottenham,TOT,CRY,1,1,1.84443,1.40792,True,True,https://understat.com/match/14545
ENG-Premier League,2021,2020-12-13 Fulham-Liverpool,1,2020,14547,2020-12-13 16:30:00,228,87,Fulham,Liverpool,LIV,FLH,1,1,1.72509,1.82445,True,True,https://understat.com/match/14547
ENG-Premier League,2021,2020-12-13 Leicester-Brighton,1,2020,14553,2020-12-13 19:15:00,75,220,Leicester,Brighton,BRI,LEI,3,0,1.64351,0.791673,True,True,https://understat.com/match/14553
ENG-Premier League,2021,2020-12-13 Southampton-Sheffield United,1,2020,14551,2020-12-13 12:00:00,74,238,Southampton,Sheffield United,SHE,SOU,3,0,2.27973,0.219115,True,True,https://understat.com/match/14551
ENG-Premier League,2021,2020-12-15 Manchester City-West Bromwich Albion,1,2020,14564,2020-12-15 20:00:00,88,76,Manchester City,West Bromwich Albion,WBA,MCI,1,1,2.58593,0.210243,True,True,https://understat.com/match/14564
ENG-Premier League,2021,2020-12-15 Wolverhampton Wanderers-Chelsea,1,2020,14562,2020-12-15 18:00:00,229,80,Wolverhampton Wanderers,Chelsea,CHE,WOL,2,1,0.683783,1.56772,True,True,https://understat.com/match/14562
ENG-Premier League,2021,2020-12-16 Arsenal-Southampton,1,2020,14555,2020-12-16 18:00:00,83,74,Arsenal,Southampton,SOU,ARS,1,1,0.661135,1.11296,True,True,https://understat.com/match/14555
