team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
FC Krasnodar,3,255,0,3,0,110,1,10,6,0,17,1,7.13
FC Bayern München,8,578,0,12,1,182,9,28,7,5,33,3,7.13
FC Bayern München,9,631,1,14,5,225,12,3,7,3,26,2,7.12
Olympique de Marseille,6,341,0,12,1,115,3,1,3,1,10,2,7.12
Manchester United,2,33,0,1,0,8,1,1,0,0,1,1,7.1
FC Bayern München,3,254,0,4,0,146,13,1,1,1,13,1,7.1
FC Barcelona,3,182,0,2,0,155,4,2,6,4,11,0,7.1
Stade Rennais,6,401,0,11,1,110,3,15,4,2,30,0,7.08
Liverpool FC,4,222,0,3,1,157,11,4,10,3,24,0,7.08
FC Bayern München,7,439,2,5,1,240,10,1,6,13,24,2,7.07
Borussia M'gladbach,8,539,2,14,2,200,5,0,13,5,24,2,7.07
Sevilla,6,280,2,9,2,121,11,3,7,2,12,0,7.07
Real Madrid,8,720,2,16,5,498,25,9,16,6,43,0,7.06
Juventus,7,475,0,8,0,315,19,7,13,10,44,0,7.06
Manchester City,10,785,0,4,0,767,47,8,11,9,75,0,7.05
FC Barcelona,7,585,1,4,1,480,8,4,8,15,35,0,7.04
Paris Saint-Germain,10,697,4,13,4,232,14,24,15,8,44,1,7.04
Atlético Madrid,5,298,1,6,1,181,15,6,5,6,26,0,7.04
Chelsea,10,349,0,9,4,153,11,5,9,4,29,2,7.03
FC Barcelona,3,126,0,4,0,154,4,2,1,0,14,0,7.03
Borussia Dortmund,10,692,1,5,1,294,14,9,24,5,45,1,7.02
Chelsea,12,1031,1,9,2,662,39,5,26,26,76,1,7.02
Real Madrid,7,489,0,8,1,247,8,9,13,17,21,0,7.01
FC Porto,9,706,0,10,2,237,22,7,24,0,38,1,7.01
Liverpool FC,10,778,1,8,2,187,4,15,6,5,34,6,7.0
Stade Rennais,5,371,1,12,1,188,20,1,4,5,11,0,7.0
Inter,4,107,0,2,1,53,2,1,0,3,7,0,7.0
Club Brugge KV,5,416,0,3,1,145,12,11,10,5,25,0,7.0
Paris Saint-Germain,8,673,1,2,1,415,16,4,18,18,43,0,6.99
Sevilla,7,405,1,12,0,330,24,4,11,6,35,0,6.99
Başakşehir FK,6,487,1,7,0,172,10,6,8,3,23,3,6.98
Başakşehir FK,6,524,1,11,3,163,12,11,1,5,39,1,6.98
Chelsea,10,604,1,7,2,411,18,15,13,7,40,0,6.98
Stade Rennais,4,331,0,7,1,152,7,11,6,6,21,0,6.98
Atalanta,7,567,0,3,0,212,5,3,11,6,35,1,6.97
Liverpool FC,10,724,1,4,1,162,7,12,5,3,25,3,6.97
RB Leipzig,6,427,0,3,0,167,4,4,16,9,27,1,6.97
Zenit St. Petersburg,4,139,0,2,1,78,2,5,4,2,16,0,6.97
FC Barcelona,6,335,0,5,1,336,13,1,8,1,22,0,6.97
