model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model B,0.88,0.8461538461538461,0.027989821882951654,0.054187192118226604,0.5128334707556454,1718,4,764,22,26,0.01036682615629984
Model B,0.89,0.8095238095238095,0.021628498727735368,0.042131350681536554,0.5096528091780372,1718,4,769,17,21,0.008373205741626795
Model B,0.9,0.8666666666666667,0.01653944020356234,0.03245942571785269,0.507689000008866,1720,2,773,13,15,0.005980861244019139
Model C,0.1,0.3421686746987952,1.0,0.5098743267504489,0.5054347826086957,18,1638,0,852,2490,0.992822966507177
Model C,0.11,0.34371209057824503,0.9976525821596244,0.5112781954887218,0.5087900591957543,33,1623,2,850,2473,0.9860446570972887
Model C,0.12,0.34623217922606925,0.9976525821596244,0.5140610825521621,0.5142248418044498,51,1605,2,850,2455,0.9788676236044657
Model C,0.13,0.3476658476658477,0.9964788732394366,0.5154826958105647,0.5172611757501531,63,1593,3,849,2442,0.9736842105263158
Model C,0.14,0.3488467874794069,0.994131455399061,0.5164634146341464,0.5197106552357624,75,1581,5,847,2428,0.9681020733652312
Model C,0.15,0.35076795350767953,0.9917840375586855,0.5182459368291935,0.5236697965571205,92,1564,7,845,2409,0.9605263157894737
Model C,0.16,0.3537300922045264,0.9906103286384976,0.5213094502779494,0.5297254541743213,114,1542,8,844,2386,0.9513556618819776
Model C,0.17,0.35560253699788585,0.9870892018779343,0.5228473733291887,0.5333996734027352,132,1524,11,841,2365,0.9429824561403509
Model C,0.18,0.3577512776831346,0.9859154929577465,0.525,0.5376437368170375,148,1508,12,840,2348,0.9362041467304625
Model C,0.19,0.360309944037882,0.9823943661971831,0.527244094488189,0.5425256855140504,170,1486,15,837,2323,0.9262360446570973
Model C,0.2,0.3629242819843342,0.9788732394366197,0.5295238095238095,0.5474076342110635,192,1464,18,834,2298,0.916267942583732
Model C,0.21,0.3679328621908127,0.9776995305164319,0.5346598202824133,0.5567845478669116,225,1431,19,833,2264,0.9027113237639554
Model C,0.22,0.371415770609319,0.9730046948356808,0.5376134889753567,0.5628912363067293,253,1403,23,829,2232,0.8899521531100478
Model C,0.23,0.3756830601092896,0.9683098591549296,0.5413385826771654,0.5702056542151459,285,1371,27,825,2196,0.8755980861244019
Model C,0.24,0.3803339517625232,0.9624413145539906,0.5452127659574468,0.5778390147649181,320,1336,32,820,2156,0.8596491228070176
Model C,0.25,0.3826578699340245,0.9530516431924883,0.5460659045057162,0.5809944206300606,346,1310,40,812,2122,0.8460925039872408
Model C,0.26,0.38904899135446686,0.9507042253521126,0.5521472392638037,0.5912941416615636,384,1272,42,810,2082,0.8301435406698564
Model C,0.27,0.39538310412573674,0.9448356807511737,0.5574792243767313,0.6007390964142342,425,1231,47,805,2036,0.8118022328548644
Model C,0.28,0.39969909729187564,0.9354460093896714,0.5600843288826423,0.6063099612165748,459,1197,55,797,1994,0.7950558213716108
Model C,0.29,0.40584915341200617,0.9284037558685446,0.564798286326312,0.6145641967748521,498,1158,61,791,1949,0.7771132376395534
Model C,0.3,0.40816326530612246,0.9154929577464789,0.5646036916395223,0.6162609716268627,525,1131,72,780,1911,0.7619617224880383
Model C,0.31,0.41408751334044824,0.9107981220657277,0.5693323550990462,0.6238773219024291,558,1098,76,776,1874,0.7472089314194578
Model C,0.32,0.4225274725274725,0.9025821596244131,0.5755988023952096,0.6339601619378105,605,1051,83,769,1820,0.7256778309409888
Model C,0.33,0.43050847457627117,0.8943661971830986,0.5812356979405034,0.6428352725045928,648,1008,90,762,1770,0.7057416267942583
